Domain,Anchor,Competitor,Role,FunctionWinsAnchor,FunctionTies,FunctionLossesAnchor,AnchorAvgRank,CompetitorAvgRank,FriedmanPostHocRawP,FriedmanPostHocHolmP,RejectFriedmanHolm,SignificantInstancesAnchor,SignificantInstancesCompetitor
FIR_ABLATION,AS-C1,AR-C1,MATCHED_RANDOM,6,0,2,1.75,2.5,0.422678074170635,0.845356148341271,0,0,0
FIR_ABLATION,AS-C1,R-best,BEST_RANDOM,4,0,4,1.75,1.75,1,1,0,0,0
FIR_ABLATION,AS-C1,MPHB,BASELINE,8,0,0,1.75,5.125,0.000308534666462833,0.00123413866585133,1,8,0
FIR_ABLATION,AS-C1,HBA,PARENT,8,0,0,1.75,5.625,3.43466580469845e-05,0.000171733290234923,1,8,0
FIR_ABLATION,AS-C1,MPA,PARENT,8,0,0,1.75,4.25,0.00752631516645789,0.0225789454993737,1,8,0
