Domain,Instance,Anchor,Competitor,NPairs,WinsAnchor,Ties,LossesAnchor,MeanAnchor,MeanCompetitor,MedianAnchor,MedianCompetitor,RawP,HolmDomainP,RejectHolmDomain
FIR_ABLATION,1,AS-C1,AR-C1,30,18,0,12,0.00573886257758604,0.0054330670337191,0.00498952913244555,0.00521477906111355,0.781263710149943,1,0
FIR_ABLATION,2,AS-C1,AR-C1,30,13,0,17,0.0214703206426058,0.0206828865380537,0.0212255856753455,0.0209373421295936,0.298943752019591,1,0
FIR_ABLATION,3,AS-C1,AR-C1,30,15,0,15,0.00515681436015733,0.0053031473369565,0.00507530405141678,0.00499321885429597,0.893644387126605,1,0
FIR_ABLATION,4,AS-C1,AR-C1,30,14,0,16,0.0214869065664112,0.0217981228568142,0.0219018038370187,0.0220403413121423,0.734325291439128,1,0
FIR_ABLATION,5,AS-C1,AR-C1,30,18,0,12,0.00176046133194598,0.00202810882076404,0.00147259608567057,0.00188228350579465,0.147039578643453,1,0
FIR_ABLATION,6,AS-C1,AR-C1,30,18,0,12,0.00666755992175006,0.00697939331577671,0.00693271280085514,0.00755104320314149,0.465282581879085,1,0
FIR_ABLATION,7,AS-C1,AR-C1,30,19,0,11,0.00163243470126284,0.00227134463653319,0.00142176382268058,0.00171998449056351,0.0786466602741035,1,0
FIR_ABLATION,8,AS-C1,AR-C1,30,19,0,11,0.00360188653907194,0.00481926107558465,0.00324255144809555,0.00400943535233948,0.0368261284160903,0.589218054657445,0
FIR_ABLATION,1,AS-C1,R-best,30,13,0,17,0.00573886257758604,0.00515455005611721,0.00498952913244555,0.0050240042779026,0.26229871911949,1,0
FIR_ABLATION,2,AS-C1,R-best,30,13,0,17,0.0214703206426058,0.0210076681314513,0.0212255856753455,0.0214997777159248,0.36003882945885,1,0
FIR_ABLATION,3,AS-C1,R-best,30,14,0,16,0.00515681436015733,0.00533943620399306,0.00507530405141678,0.0048836297948092,0.926255087307612,1,0
FIR_ABLATION,4,AS-C1,R-best,30,15,0,15,0.0214869065664112,0.0213059206168237,0.0219018038370187,0.0217206862550293,0.673279806523305,1,0
FIR_ABLATION,5,AS-C1,R-best,30,16,0,14,0.00176046133194598,0.00182240960129562,0.00147259608567057,0.00166051461768911,0.942610512457651,1,0
FIR_ABLATION,6,AS-C1,R-best,30,13,0,17,0.00666755992175006,0.00666338691694222,0.00693271280085514,0.00692130978242727,0.734325291439128,1,0
FIR_ABLATION,7,AS-C1,R-best,30,15,0,15,0.00163243470126284,0.00177529315529672,0.00142176382268058,0.00151108024182152,0.958990172136891,1,0
FIR_ABLATION,8,AS-C1,R-best,30,17,0,13,0.00360188653907194,0.00447270452026128,0.00324255144809555,0.00347113318049609,0.125438239029808,1,0
FIR_ABLATION,1,AS-C1,MPHB,30,28,0,2,0.00573886257758604,0.0135612979931966,0.00498952913244555,0.0114037795878138,5.21649344703338e-06,0.000130412336175835,1
FIR_ABLATION,2,AS-C1,MPHB,30,29,0,1,0.0214703206426058,0.0344842882398155,0.0212255856753455,0.0310087800672841,1.92092110490315e-06,6.93759051328233e-05,1
FIR_ABLATION,3,AS-C1,MPHB,30,30,0,0,0.00515681436015733,0.0133304505969886,0.00507530405141678,0.0122575237749581,1.73439762832058e-06,6.93759051328233e-05,1
FIR_ABLATION,4,AS-C1,MPHB,30,30,0,0,0.0214869065664112,0.0337911432445602,0.0219018038370187,0.0304786868303612,1.73439762832058e-06,6.93759051328233e-05,1
FIR_ABLATION,5,AS-C1,MPHB,30,30,0,0,0.00176046133194598,0.00687360938737434,0.00147259608567057,0.00606501142072486,1.73439762832058e-06,6.93759051328233e-05,1
FIR_ABLATION,6,AS-C1,MPHB,30,30,0,0,0.00666755992175006,0.0123535777985115,0.00693271280085514,0.0103508388256662,1.73439762832058e-06,6.93759051328233e-05,1
FIR_ABLATION,7,AS-C1,MPHB,30,30,0,0,0.00163243470126284,0.00858704121652394,0.00142176382268058,0.00637446100103351,1.73439762832058e-06,6.93759051328233e-05,1
FIR_ABLATION,8,AS-C1,MPHB,30,29,0,1,0.00360188653907194,0.0092242317677794,0.00324255144809555,0.00858781230474587,2.35342099512154e-06,7.29560508487678e-05,1
FIR_ABLATION,1,AS-C1,HBA,30,26,0,4,0.00573886257758604,0.0178215267207646,0.00498952913244555,0.0107607655491553,4.44933728345311e-05,0.00080088071102156,1
FIR_ABLATION,2,AS-C1,HBA,30,27,0,3,0.0214703206426058,0.0403398114233227,0.0212255856753455,0.0307973805052734,3.18167941096986e-06,8.59053440961863e-05,1
FIR_ABLATION,3,AS-C1,HBA,30,29,0,1,0.00515681436015733,0.017770102344488,0.00507530405141678,0.0102552838964137,3.18167941096986e-06,8.59053440961863e-05,1
FIR_ABLATION,4,AS-C1,HBA,30,29,0,1,0.0214869065664112,0.043885007692154,0.0219018038370187,0.0290664153979706,2.35342099512154e-06,7.29560508487678e-05,1
FIR_ABLATION,5,AS-C1,HBA,30,27,0,3,0.00176046133194598,0.0123290486935027,0.00147259608567057,0.00521761967209428,5.21649344703338e-06,0.000130412336175835,1
FIR_ABLATION,6,AS-C1,HBA,30,26,0,4,0.00666755992175006,0.0115686327847961,0.00693271280085514,0.00976899812127662,8.46608169038389e-06,0.000186253797188446,1
FIR_ABLATION,7,AS-C1,HBA,30,25,0,5,0.00163243470126284,0.00769731616591803,0.00142176382268058,0.00484346564617883,2.1630223983537e-05,0.000410974255687203,1
FIR_ABLATION,8,AS-C1,HBA,30,29,0,1,0.00360188653907194,0.0237924615474562,0.00324255144809555,0.0147851739715079,2.60332838953893e-06,7.5496523296629e-05,1
FIR_ABLATION,1,AS-C1,MPA,30,27,0,3,0.00573886257758604,0.0101761432470677,0.00498952913244555,0.00942097855841452,8.46608169038389e-06,0.000186253797188446,1
FIR_ABLATION,2,AS-C1,MPA,30,28,0,2,0.0214703206426058,0.0295219107852784,0.0212255856753455,0.028285587038719,6.98378314747711e-06,0.000160627012391973,1
FIR_ABLATION,3,AS-C1,MPA,30,28,0,2,0.00515681436015733,0.0118624717471848,0.00507530405141678,0.00948200855274232,2.60332838953893e-06,7.5496523296629e-05,1
FIR_ABLATION,4,AS-C1,MPA,30,26,0,4,0.0214869065664112,0.0290140512920764,0.0219018038370187,0.0276587395600353,1.23807956145645e-05,0.00024761591229129,1
FIR_ABLATION,5,AS-C1,MPA,30,29,0,1,0.00176046133194598,0.00521683509365842,0.00147259608567057,0.00380477428099396,1.92092110490315e-06,6.93759051328233e-05,1
FIR_ABLATION,6,AS-C1,MPA,30,22,0,8,0.00666755992175006,0.0099865454038611,0.00693271280085514,0.00940819828486062,0.00066392128426448,0.0112866618324962,1
FIR_ABLATION,7,AS-C1,MPA,30,30,0,0,0.00163243470126284,0.00894315683750815,0.00142176382268058,0.00535419573757356,1.73439762832058e-06,6.93759051328233e-05,1
FIR_ABLATION,8,AS-C1,MPA,30,29,0,1,0.00360188653907194,0.0074846525042257,0.00324255144809555,0.00684889329869661,1.92092110490315e-06,6.93759051328233e-05,1
