Domain,Anchor,Competitor,Role,FunctionWinsAnchor,FunctionTies,FunctionLossesAnchor,AnchorAvgRank,CompetitorAvgRank,FriedmanPostHocRawP,FriedmanPostHocHolmP,RejectFriedmanHolm,SignificantInstancesAnchor,SignificantInstancesCompetitor
FIR_EXTERNAL,A-C1,MPHB,BASELINE,8,0,0,1,3.875,0.0575431142774817,0.172629342832445,0,8,0
FIR_EXTERNAL,A-C1,HBA,PARENT,8,0,0,1,4.5,0.0207763658994045,0.0831054635976178,0,8,0
FIR_EXTERNAL,A-C1,MPA,PARENT,8,0,0,1,3.125,0.160399622796926,0.320799245593852,0,8,0
FIR_EXTERNAL,A-C1,EODE,EXTERNAL,8,0,0,1,2.625,0.283073893152809,0.320799245593852,0,6,0
FIR_EXTERNAL,A-C1,RLTLBO,EXTERNAL,8,0,0,1,8.625,4.73109004068385e-07,3.78487203254708e-06,1,8,0
FIR_EXTERNAL,A-C1,QQLMPA,EXTERNAL,8,0,0,1,6.75,0.000145677234822869,0.000874063408937213,1,8,0
FIR_EXTERNAL,A-C1,GWO,EXTERNAL,8,0,0,1,8.625,4.73109004068385e-07,3.78487203254708e-06,1,8,0
FIR_EXTERNAL,A-C1,FDB-TLABC,EXTERNAL,8,0,0,1,6.375,0.000384342198695136,0.00192171099347568,1,8,0
FIR_EXTERNAL,A-C1,FTO,EXTERNAL,8,0,0,1,9.5,1.96658663871454e-08,1.76992797484309e-07,1,8,0
