Domain,Anchor,Competitor,Role,FunctionWinsAnchor,FunctionTies,FunctionLossesAnchor,AnchorAvgRank,CompetitorAvgRank,FriedmanPostHocRawP,FriedmanPostHocHolmP,RejectFriedmanHolm,SignificantInstancesAnchor,SignificantInstancesCompetitor
CEC2022_ABLATION,BS-C1,BR-C1,MATCHED_RANDOM,11,0,1,2,4.5,0.00106311491715861,0.00425245966863442,1,8,1
CEC2022_ABLATION,BS-C1,R-best,BEST_RANDOM,11,0,1,2,4.08333333333333,0.00637730142168835,0.019131904265065,1,9,1
CEC2022_ABLATION,BS-C1,MPHB,BASELINE,6,0,6,2,2.41666666666667,0.585378928460962,0.890017437493472,0,4,0
CEC2022_ABLATION,BS-C1,HBA,PARENT,12,0,0,2,5.41666666666667,7.69615302852137e-06,3.84807651426068e-05,1,9,0
CEC2022_ABLATION,BS-C1,MPA,PARENT,8,0,4,2,2.58333333333333,0.445008718746736,0.890017437493472,0,4,0
