AlgIdx,CasePos,CaseID,RunIdx,Alias,Algorithm,Family,Role,PairID,Seed,OK,BestFit,TimeSec,FEs,Message
1,1,1,26,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20261431,1,0.00507758091879315,3.002256375,149857,
1,1,1,27,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20261432,1,0.00500426418812924,2.983844125,149857,
1,1,1,28,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20261433,1,0.00796779185580852,2.980768125,149857,
1,1,1,29,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20261434,1,0.00831020359792865,3.00816779166667,149857,
1,1,1,30,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20261435,1,0.00457872108902351,2.94737383333333,149857,
1,2,2,1,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262406,1,0.0213831976455999,2.970666625,149857,
1,2,2,2,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262407,1,0.0299780750259669,2.9708745,149857,
1,2,2,3,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262408,1,0.0281244717133596,3.010545,149857,
1,2,2,4,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262409,1,0.0214317143239491,3.00257025,149857,
1,2,2,5,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262410,1,0.0230827153998996,2.97589616666667,149857,
1,2,2,6,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262411,1,0.0227905452773467,2.98245954166667,149857,
1,2,2,7,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262412,1,0.0251987111682783,3.00209154166667,149857,
1,2,2,8,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262413,1,0.0170447986452305,3.00025333333333,149857,
1,2,2,9,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262414,1,0.0218779557116338,3.00253275,149857,
1,2,2,10,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262415,1,0.023304849037386,2.974014125,149857,
1,2,2,11,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262416,1,0.0214584986458581,2.98657625,149857,
1,2,2,12,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262417,1,0.0249878565919261,3.018715875,149857,
1,2,2,13,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262418,1,0.0219742284966847,3.023031625,149857,
1,2,2,14,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262419,1,0.0237293198256354,3.00059670833333,149857,
1,2,2,15,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262420,1,0.0199262955312834,3.01959320833333,149857,
1,2,2,16,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262421,1,0.0261747166789152,2.97044758333333,149857,
1,2,2,17,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262422,1,0.0239825251596782,3.0087535,149857,
1,2,2,18,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262423,1,0.0219569997916814,2.98638829166667,149857,
1,2,2,19,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262424,1,0.0221578495748299,2.96965408333333,149857,
1,2,2,20,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262425,1,0.0181880192667736,2.993717875,149857,
1,2,2,21,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262426,1,0.0225748482430084,3.00126554166667,149857,
1,2,2,22,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262427,1,0.0210438743012943,2.97800945833333,149857,
1,2,2,23,B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,PAIR_C1_BEFORE,20262428,1,0.025136413672324,3.009887875,149857,
