Alias,Algorithm,Family,Role,WTL_Global,AnchorIndex
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,91/1/268,1
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,95/1/264,1
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,132/0/228,1
HBA,HBA_BASE,HBA_BASE,PARENT,79/0/281,1
MPA,MPA_BASE,MPA_BASE,PARENT,115/0/245,1
