Alias,Algorithm,Family,Role,GlobalMeanRaw,GlobalMeanError,GlobalStdError,GlobalMedianError,GlobalMeanTimeSec,GlobalMeanEstFEs,SuccessRatePct,ValidPct,CompletedPct,MeanRankRunFunc,FriedmanMeanRank,AvgRankByMean
BS-C1,MPHBS_SARSA_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_SARSA,ANCHOR,1661.76162839287,78.428295059536,101.850702985187,26.2313487802085,2.01883520416667,199930,0,100,100,2.42777777777778,2.42777777777778,2
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,1662.84416923553,79.5108359021936,100.774710012826,30.3245046445743,0.499462011111111,199950,0,100,100,3.04722222222222,3.04722222222222,2.41666666666667
MPA,MPA_BASE,MPA_BASE,PARENT,1667.48140748037,84.1480741470369,111.033540550258,28.4504104042713,0.570037913194444,199980,0,100,100,3.08333333333333,3.08333333333333,2.58333333333333
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,1704.28333181448,120.949998481146,129.912499381188,57.0015645866306,0.800593884722222,199870,7.5,100,100,3.90416666666667,3.90416666666667,4.08333333333333
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,1709.48373456336,126.150401230024,136.86106114797,54.7226270962203,0.800255188310185,199870,8.05555555555556,100,100,3.96944444444444,3.96944444444444,4.5
HBA,HBA_BASE,HBA_BASE,PARENT,2429.95576552357,846.622432190233,3051.66449611827,75.2727408049336,0.619405736921296,199980,3.33333333333333,100,100,4.56805555555556,4.56805555555556,5.41666666666667
