Instance,B_C1,RB_C1,B_C2,RB_C2,B_C3,RB_C3,B_C4,RB_C4,A_C1,RA_C1,A_C2,RA_C2,A_C3,RA_C3,A_C4,RA_C4,MPHB
1,15,1.5,16,4,13,1.5,14,3,12,8.5,7,6,10,8.5,5,11,17
2,15,7.5,16,4,13,7.5,14,6,9,2.5,12,1,11,2.5,5,10,17
3,12,9.5,16,6,15,9.5,14,3,2,4.5,7,1,11,4.5,13,8,17
4,13,6.5,15,5,10,6.5,16,1,9,11.5,8,14,2,11.5,4,3,17
5,13,11.5,16,2,14,11.5,15,3,1,9.5,5,4,8,9.5,7,6,17
6,5,13.5,15,2,12,13.5,9,10,3,7.5,11,1,4,7.5,6,16,17
7,10,11.5,15,3,13,11.5,16,5,1,7.5,4,9,2,7.5,6,14,17
8,14,8.5,13,4,16,8.5,15,6,1,10.5,7,2,3,10.5,5,12,17
