Domain,Anchor,Competitor,Role,FunctionWinsAnchor,FunctionTies,FunctionLossesAnchor,AnchorAvgRank,CompetitorAvgRank,FriedmanPostHocRawP,FriedmanPostHocHolmP,RejectFriedmanHolm,SignificantInstancesAnchor,SignificantInstancesCompetitor
CEC2022_EXTERNAL,B-C1,MPHB,BASELINE,6,0,6,2.75,3,0.839713501301875,1,0,4,0
CEC2022_EXTERNAL,B-C1,HBA,PARENT,12,0,0,2.75,7.75,5.22786578326742e-05,0.000365950604828719,1,9,0
CEC2022_EXTERNAL,B-C1,MPA,PARENT,8,0,4,2.75,3.25,0.685830434451606,1,0,4,0
CEC2022_EXTERNAL,B-C1,EODE,EXTERNAL,8,1,3,2.75,4,0.311872964786022,0.935618894358067,0,3,2
CEC2022_EXTERNAL,B-C1,RLTLBO,EXTERNAL,11,0,1,2.75,7.08333333333333,0.000455169969885115,0.00273101981931069,1,11,0
CEC2022_EXTERNAL,B-C1,QQLMPA,EXTERNAL,10,0,2,2.75,5.16666666666667,0.050561875401775,0.252809377008875,0,7,0
CEC2022_EXTERNAL,B-C1,GWO,EXTERNAL,12,0,0,2.75,8.83333333333333,8.5813643747973e-07,7.72322793731757e-06,1,11,0
CEC2022_EXTERNAL,B-C1,FDB-TLABC,EXTERNAL,8,1,3,2.75,4.41666666666667,0.177529852412153,0.710119409648614,0,7,1
CEC2022_EXTERNAL,B-C1,FTO,EXTERNAL,12,0,0,2.75,8.75,1.20849911552849e-06,9.66799292422793e-06,1,12,0
