Alias,Algorithm,Family,Role,WTL_Global,AnchorIndex
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,132/0/228,1
HBA,HBA_BASE,HBA_BASE,PARENT,79/0/281,1
MPA,MPA_BASE,MPA_BASE,PARENT,115/0/245,1
EODE,EODE_BASE,EODE_BASE,EXTERNAL,191/2/167,1
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,29/0/331,1
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,77/0/283,1
GWO,GWO_BASE,GWO_BASE,EXTERNAL,19/0/341,1
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,156/4/200,1
FTO,FTO_BASE,FTO_BASE,EXTERNAL,12/0/348,1
