AlgIdx,FuncPos,FunctionID,RunIdx,Alias,Algorithm,Family,Role,PairID,Seed,OK,BestRaw,Error,TimeSec,EstFEs,Message
1,1,1,26,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20261431,1,300.000000356166,3.56165571702149e-07,1.92395545833333,199930,OK
1,1,1,27,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20261432,1,300.0000003236,3.23600033880211e-07,1.93415666666667,199930,OK
1,1,1,28,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20261433,1,300.000000078556,7.85562974670029e-08,1.947126125,199930,OK
1,1,1,29,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20261434,1,300.000000168758,1.68757821938925e-07,1.920109375,199930,OK
1,1,1,30,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20261435,1,300.000000308443,3.08442963614652e-07,1.94653766666667,199930,OK
1,2,2,1,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20262406,1,449.084478998448,49.0844789984484,1.86906,199930,OK
1,2,2,2,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20262407,1,400.224849494289,0.224849494289117,1.87524829166667,199930,OK
1,2,2,3,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20262408,1,400.103655331887,0.103655331887467,1.92577691666667,199930,OK
1,2,2,4,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20262409,1,449.084479055659,49.0844790556586,1.920836875,199930,OK
1,2,2,5,B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,PROPOSED,20262410,1,404.088356863916,4.08835686391598,1.90026733333333,199930,OK
