Alias,Algorithm,Family,Role,GlobalMeanFit,GlobalStdFit,GlobalMedianFit,GlobalMeanTimeSec,GlobalMeanFEs,ValidPct,CompletedPct,MeanRankRunCase,FriedmanMeanRank,AvgRankAll
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,0.00844267115027263,0.00769424443842488,0.00496158744972617,2.0312197046875,149828,100,100,2.09583333333333,2.09583333333333,1.75
AS-C1,MPHBS_SARSA_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_SARSA,ANCHOR,0.00843940583009891,0.00787880982527047,0.00483519758108138,3.12852329253472,149857,100,100,2.15416666666667,2.15416666666667,1.75
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,0.00866441645177526,0.00767327506444459,0.00515150612381012,2.03749816059028,149828,100,100,2.35416666666667,2.35416666666667,2.5
MPA,MPA_BASE,MPA_BASE,PARENT,0.0140257208638576,0.0106274827602998,0.00949653505784473,1.8274816671875,150000,100,100,4.53333333333333,4.53333333333333,4.25
HBA,HBA_BASE,HBA_BASE,PARENT,0.0219004884215503,0.0248438369463188,0.0128139363672991,1.96984273177083,150000,100,100,4.82916666666667,4.82916666666667,5.625
MPHB,MPHB_BASE,MPHB,BASELINE,0.0165257050305938,0.012634836623375,0.0118294140638869,1.76607812378472,150000,100,100,5.03333333333333,5.03333333333333,5.125
