Alias,Algorithm,Family,Role,WTL_Global,AnchorIndex
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,106/0/134,1
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,124/0/116,1
MPHB,MPHB_BASE,MPHB,BASELINE,4/0/236,1
HBA,HBA_BASE,HBA_BASE,PARENT,22/0/218,1
MPA,MPA_BASE,MPA_BASE,PARENT,21/0/219,1
