Alias,Algorithm,Family,Role,WTL_Global,AnchorIndex
MPHB,MPHB_BASE,MPHB,BASELINE,4/0/236,1
HBA,HBA_BASE,HBA_BASE,PARENT,22/0/218,1
MPA,MPA_BASE,MPA_BASE,PARENT,21/0/219,1
EODE,EODE_BASE,EODE_BASE,EXTERNAL,49/0/191,1
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,0/0/240,1
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,2/0/238,1
GWO,GWO_BASE,GWO_BASE,EXTERNAL,0/0/240,1
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,4/0/236,1
FTO,FTO_BASE,FTO_BASE,EXTERNAL,0/0/240,1
