Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,12,1,13/0/17
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,1,1,30/0/0
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,2,1,15/0/15
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,4,1,10/0/20
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,6,1,8/0/22
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,7,1,2/0/28
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,8,1,0/0/30
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,9,1,3/1/26
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,10,1,3/0/27
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,11,1,17/0/13
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,12,1,3/0/27
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,1,1,21/0/9
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,2,1,12/0/18
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,3,1,15/0/15
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,4,1,17/0/13
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,5,1,13/0/17
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,6,1,12/0/18
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,7,1,10/0/20
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,8,1,19/0/11
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,9,1,16/1/13
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,10,1,8/0/22
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,11,1,12/0/18
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,12,1,18/0/12
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,1,1,26/0/4
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,2,1,10/0/20
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,4,1,11/0/19
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,5,1,1/0/29
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,6,1,5/0/25
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,7,1,2/0/28
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,8,1,2/0/28
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,9,1,4/0/26
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,10,1,2/0/28
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,11,1,17/0/13
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,12,1,1/0/29
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,1,1,30/0/0
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,2,1,17/0/13
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,3,1,0/0/30
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,4,1,6/0/24
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,5,1,0/0/30
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,6,1,7/0/23
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,7,1,2/0/28
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,8,1,1/0/29
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,9,1,11/0/19
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,10,1,5/0/25
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,11,1,20/0/10
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,12,1,2/0/28
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,1,1,27/0/3
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,2,1,14/0/16
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,4,1,8/0/22
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,6,1,5/0/25
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,7,1,1/0/29
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,8,1,1/0/29
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,9,1,4/0/26
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,10,1,2/0/28
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,11,1,19/0/11
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,12,1,2/0/28
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,1,1,29/0/1
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,2,1,20/0/10
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,3,1,0/0/30
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,4,1,9/0/21
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,5,1,0/0/30
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,6,1,8/0/22
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,7,1,4/0/26
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,8,1,3/0/27
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,9,1,5/0/25
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,10,1,3/0/27
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,11,1,17/0/13
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,12,1,2/0/28
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,1,1,28/0/2
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,2,1,16/0/14
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,4,1,11/0/19
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,6,1,2/0/28
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,7,1,2/0/28
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,8,1,1/0/29
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,9,1,2/0/28
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,10,1,3/0/27
